Year,EcoregionName,SpeciesCode,ProbEstablish,ProbMortality,ANPPmax,BiomassMax
0,101,abiebals,0.9,0.95,886,26000
0,101,acerrubr,1,0.95,1175,26000
0,101,acersacc,0.82,0.95,1106,26000
0,101,betualle,0.64,0.95,1202,26000
0,101,betupapy,1,0.95,1202,26000
0,101,fraxamer,0.18,0.95,1202,26000
0,101,piceglau,0.58,0.95,969,26000
0,101,pinubank,1,0.95,1130,26000
0,101,pinuresi,0.56,0.95,1017,26000
0,101,pinustro,0.72,0.95,1090,26000
0,101,poputrem,1,0.95,1078,26000
0,101,querelli,0.96,0.95,1096,26000
0,101,querrubr,0.66,0.95,1017,26000
0,101,thujocci,0.76,0.95,1090,26000
0,101,tiliamer,0.54,0.95,1078,26000
0,102,abiebals,0.9,0,886,26000
0,102,acerrubr,1,0,1175,26000
0,102,acersacc,0.82,0,1106,26000
0,102,betualle,0.64,0,1202,26000
0,102,betupapy,1,0,1202,26000
0,102,fraxamer,0.18,0,1202,26000
0,102,piceglau,0.58,0,969,26000
0,102,pinubank,1,0,1130,26000
0,102,pinuresi,0.56,0,1017,26000
0,102,pinustro,0.72,0,1090,26000
0,102,poputrem,1,0,1078,26000
0,102,querelli,0.96,0,1096,26000
0,102,querrubr,0.66,0,1017,26000
0,102,thujocci,0.76,0,1090,26000
0,102,tiliamer,0.54,0,1078,26000
